sym,date,whale_time,hour,bar_k,entry,whale_low,whale_high,spike,pace,clv,rng_x,new_high,above_vwap,lifting,confirmed,rsi,pattern,score,room_pct,breakout,trend,near_low,atr5_pct,atr5_abs,atr_d_pct,v3,first_of_day,fill,slip_pct,mfe_d0,mae_d0,close_d0,mfe_d1,close_d1,stoppct_whale,o_d0_t0.5_whale,p_d0_t0.5_whale,o_d1_t0.5_whale,p_d1_t0.5_whale,o_d0_t1.0_whale,p_d0_t1.0_whale,o_d1_t1.0_whale,p_d1_t1.0_whale,o_d0_t1.5_whale,p_d0_t1.5_whale,o_d1_t1.5_whale,p_d1_t1.5_whale,o_d0_t2.0_whale,p_d0_t2.0_whale,o_d1_t2.0_whale,p_d1_t2.0_whale,stoppct_p05,o_d0_t0.5_p05,p_d0_t0.5_p05,o_d1_t0.5_p05,p_d1_t0.5_p05,o_d0_t1.0_p05,p_d0_t1.0_p05,o_d1_t1.0_p05,p_d1_t1.0_p05,o_d0_t1.5_p05,p_d0_t1.5_p05,o_d1_t1.5_p05,p_d1_t1.5_p05,o_d0_t2.0_p05,p_d0_t2.0_p05,o_d1_t2.0_p05,p_d1_t2.0_p05,stoppct_p10,o_d0_t0.5_p10,p_d0_t0.5_p10,o_d1_t0.5_p10,p_d1_t0.5_p10,o_d0_t1.0_p10,p_d0_t1.0_p10,o_d1_t1.0_p10,p_d1_t1.0_p10,o_d0_t1.5_p10,p_d0_t1.5_p10,o_d1_t1.5_p10,p_d1_t1.5_p10,o_d0_t2.0_p10,p_d0_t2.0_p10,o_d1_t2.0_p10,p_d1_t2.0_p10,stoppct_p20,o_d0_t0.5_p20,p_d0_t0.5_p20,o_d1_t0.5_p20,p_d1_t0.5_p20,o_d0_t1.0_p20,p_d0_t1.0_p20,o_d1_t1.0_p20,p_d1_t1.0_p20,o_d0_t1.5_p20,p_d0_t1.5_p20,o_d1_t1.5_p20,p_d1_t1.5_p20,o_d0_t2.0_p20,p_d0_t2.0_p20,o_d1_t2.0_p20,p_d1_t2.0_p20,stoppct_atr1,o_d0_t0.5_atr1,p_d0_t0.5_atr1,o_d1_t0.5_atr1,p_d1_t0.5_atr1,o_d0_t1.0_atr1,p_d0_t1.0_atr1,o_d1_t1.0_atr1,p_d1_t1.0_atr1,o_d0_t1.5_atr1,p_d0_t1.5_atr1,o_d1_t1.5_atr1,p_d1_t1.5_atr1,o_d0_t2.0_atr1,p_d0_t2.0_atr1,o_d1_t2.0_atr1,p_d1_t2.0_atr1
TEAM,2026-07-14,12:25,12,35,91.91,91.23,91.94,2.69,1.74,0.87,1.51,True,True,True,True,54.4,بدون,79,4.99,False,True,False,0.504,0.45892769949776785,5.64,False,False,91.91,0.0,0.0,-3.06,-3.02,4.29,-0.17,0.94,stop,-0.94,stop,-0.94,stop,-0.94,stop,-0.94,stop,-0.94,stop,-0.94,stop,-0.94,stop,-0.94,0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,2.0,stop,-2.0,stop,-2.0,stop,-2.0,stop,-2.0,stop,-2.0,stop,-2.0,stop,-2.0,stop,-2.0,0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5
TSM,2026-07-14,12:25,12,35,419.72,419.55,420.39,2.53,1.35,0.69,0.62,False,False,False,False,35.1,بدون,55,2.7,False,False,False,0.295,1.2366550990513392,5.1,False,True,419.76,0.01,1.08,-0.03,0.21,2.18,-0.05,0.24,target,0.49,target,0.49,target,0.99,target,0.99,none,0.21,target,1.49,none,0.21,target,1.99,0.5,target,0.49,target,0.49,target,0.99,target,0.99,none,0.21,target,1.49,none,0.21,target,1.99,1.0,target,0.49,target,0.49,target,0.99,target,0.99,none,0.21,target,1.49,none,0.21,target,1.99,2.0,target,0.49,target,0.49,target,0.99,target,0.99,none,0.21,target,1.49,none,0.21,target,1.99,0.29,target,0.49,target,0.49,target,0.99,target,0.99,none,0.21,target,1.49,none,0.21,target,1.99
SNOW,2026-07-14,12:30,12,36,276.78,276.79,277.46,3.19,1.46,0.61,0.66,True,True,False,False,65.3,بدون,80,990.0,True,True,False,0.35,0.9705113002232143,4.67,False,False,276.61,-0.06,0.79,-0.58,-0.23,0.93,-1.67,0.2,target,0.56,target,0.56,stop,-0.14,stop,-0.14,stop,-0.14,stop,-0.14,stop,-0.14,stop,-0.14,0.5,target,0.56,target,0.56,stop,-0.44,stop,-0.44,stop,-0.44,stop,-0.44,stop,-0.44,stop,-0.44,1.0,target,0.56,target,0.56,none,-0.23,stop,-0.94,none,-0.23,stop,-0.94,none,-0.23,stop,-0.94,2.0,target,0.56,target,0.56,none,-0.23,stop,-1.94,none,-0.23,stop,-1.94,none,-0.23,stop,-1.94,0.35,target,0.56,target,0.56,stop,-0.29,stop,-0.29,stop,-0.29,stop,-0.29,stop,-0.29,stop,-0.29
AZO,2026-07-14,12:45,12,39,3021.87,3018.07,3023.4,2.34,1.02,1.0,0.73,False,False,False,False,43.4,بدون,56,2.37,False,False,False,0.222,6.712785993303571,3.28,False,False,3021.54,-0.01,0.36,-0.47,0.35,1.34,-1.71,0.33,stop,-0.31,stop,-0.31,stop,-0.31,stop,-0.31,stop,-0.31,stop,-0.31,stop,-0.31,stop,-0.31,0.5,none,0.35,target,0.51,none,0.35,target,1.01,none,0.35,stop,-0.49,none,0.35,stop,-0.49,1.0,none,0.35,target,0.51,none,0.35,target,1.01,none,0.35,stop,-0.99,none,0.35,stop,-0.99,2.0,none,0.35,target,0.51,none,0.35,target,1.01,none,0.35,stop,-1.99,none,0.35,stop,-1.99,0.22,stop,-0.21,stop,-0.21,stop,-0.21,stop,-0.21,stop,-0.21,stop,-0.21,stop,-0.21,stop,-0.21
ARM,2026-07-14,12:50,12,40,282.29,279.49,282.3,2.09,1.8,0.72,1.47,False,False,False,False,41.5,بدون,56,9.99,False,False,False,0.6,1.6761343819754464,10.08,False,False,282.29,0.0,1.35,-0.55,-0.43,2.2,-1.87,1.19,target,0.5,target,0.5,target,1.0,target,1.0,none,-0.43,target,1.5,none,-0.43,target,2.0,0.5,target,0.5,target,0.5,target,1.0,target,1.0,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,1.0,target,0.5,target,0.5,target,1.0,target,1.0,none,-0.43,target,1.5,none,-0.43,target,2.0,2.0,target,0.5,target,0.5,target,1.0,target,1.0,none,-0.43,target,1.5,none,-0.43,target,2.0,0.59,target,0.5,target,0.5,target,1.0,target,1.0,none,-0.43,target,1.5,none,-0.43,target,2.0
TSM,2026-07-14,12:55,13,41,420.88,420.15,420.93,3.61,1.4,0.98,0.72,False,False,False,False,40.5,بدون,76,2.42,False,False,False,0.224,0.9411751883370536,5.1,False,False,420.93,0.01,0.8,-0.16,-0.07,1.89,-0.33,0.37,target,0.49,target,0.49,none,-0.07,target,1.14,none,-0.07,target,1.49,none,-0.07,stop,-0.39,0.5,target,0.49,target,0.49,none,-0.07,target,1.14,none,-0.07,target,1.49,none,-0.07,stop,-0.51,1.0,target,0.49,target,0.49,none,-0.07,target,1.14,none,-0.07,target,1.49,none,-0.07,stop,-1.01,2.0,target,0.49,target,0.49,none,-0.07,target,1.14,none,-0.07,target,1.49,none,-0.07,stop,-2.01,0.22,target,0.49,target,0.49,none,-0.07,target,1.14,none,-0.07,target,1.49,none,-0.07,stop,-0.24
EMR,2026-07-14,13:10,13,44,135.22,135.0,135.24,3.38,1.11,0.82,1.32,False,False,False,False,45.1,بدون,69,2.09,False,False,False,0.135,0.18196214948381698,2.9,False,False,135.22,0.0,0.83,-0.1,0.66,1.87,0.76,0.36,target,0.5,target,0.5,none,0.66,target,1.28,none,0.66,stop,-0.36,none,0.66,stop,-0.36,0.5,target,0.5,target,0.5,none,0.66,target,1.28,none,0.66,target,1.5,none,0.66,none,0.76,1.0,target,0.5,target,0.5,none,0.66,target,1.28,none,0.66,target,1.5,none,0.66,none,0.76,2.0,target,0.5,target,0.5,none,0.66,target,1.28,none,0.66,target,1.5,none,0.66,none,0.76,0.13,target,0.5,target,0.5,none,0.66,target,1.28,none,0.66,stop,-0.13,none,0.66,stop,-0.13
JNJ,2026-07-14,13:20,13,46,253.17,253.1,253.24,3.97,1.13,0.75,0.43,False,False,False,False,46.9,بدون,68,2.35,False,True,False,0.113,0.28707776750837055,2.58,False,False,253.22,0.02,0.27,-0.3,0.25,1.43,-2.43,0.23,stop,-0.25,stop,-0.25,stop,-0.25,stop,-0.25,stop,-0.25,stop,-0.25,stop,-0.25,stop,-0.25,0.5,none,0.25,stop,-1.24,none,0.25,stop,-1.24,none,0.25,stop,-1.24,none,0.25,stop,-1.24,1.0,none,0.25,stop,-1.24,none,0.25,stop,-1.24,none,0.25,stop,-1.24,none,0.25,stop,-1.24,2.0,none,0.25,stop,-2.02,none,0.25,stop,-2.02,none,0.25,stop,-2.02,none,0.25,stop,-2.02,0.11,stop,-0.13,stop,-0.13,stop,-0.13,stop,-0.13,stop,-0.13,stop,-0.13,stop,-0.13,stop,-0.13
ASML,2026-07-14,13:25,13,47,1787.22,1786.58,1791.99,3.36,1.76,0.69,1.15,True,True,False,False,63.7,مثلث,100,0.35,False,False,False,0.257,4.585117885044643,5.64,False,False,1787.17,-0.0,0.62,-1.2,-0.67,2.4,2.12,0.24,target,0.5,target,0.5,stop,-0.23,stop,-0.23,stop,-0.23,stop,-0.23,stop,-0.23,stop,-0.23,0.5,target,0.5,target,0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,1.0,target,0.5,target,0.5,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,2.0,target,0.5,target,0.5,none,-0.67,target,2.12,none,-0.67,target,2.12,none,-0.67,target,2.12,0.26,target,0.5,target,0.5,stop,-0.25,stop,-0.25,stop,-0.25,stop,-0.25,stop,-0.25,stop,-0.25
MRK,2026-07-14,13:30,13,48,120.74,120.41,120.56,2.62,1.12,0.53,0.78,False,False,False,False,38.8,بدون,54,2.93,False,True,False,0.169,0.2035707746233259,2.87,False,False,120.74,-0.0,0.22,-0.3,0.05,3.45,2.37,0.47,none,0.05,target,2.91,none,0.05,target,2.91,none,0.05,target,2.91,none,0.05,target,2.91,0.5,none,0.05,target,2.91,none,0.05,target,2.91,none,0.05,target,2.91,none,0.05,target,2.91,1.0,none,0.05,target,2.91,none,0.05,target,2.91,none,0.05,target,2.91,none,0.05,target,2.91,2.0,none,0.05,target,2.91,none,0.05,target,2.91,none,0.05,target,2.91,none,0.05,target,2.91,0.17,stop,-0.17,stop,-0.17,stop,-0.17,stop,-0.17,stop,-0.17,stop,-0.17,stop,-0.17,stop,-0.17
PLTR,2026-07-14,13:30,13,48,134.62,133.75,134.55,3.13,1.55,0.6,1.96,True,True,False,True,62.6,قاعدة,88,990.0,True,True,False,0.318,0.42552294049944195,5.19,False,False,134.61,-0.01,0.88,-0.97,-0.65,1.69,-0.64,0.84,target,0.51,target,0.51,stop,-0.84,stop,-0.84,stop,-0.84,stop,-0.84,stop,-0.84,stop,-0.84,0.5,target,0.51,target,0.51,stop,-0.49,stop,-0.49,stop,-0.49,stop,-0.49,stop,-0.49,stop,-0.49,1.0,target,0.51,target,0.51,none,-0.65,target,1.01,none,-0.65,target,1.51,none,-0.65,stop,-0.99,2.0,target,0.51,target,0.51,none,-0.65,target,1.01,none,-0.65,target,1.51,none,-0.65,none,-0.64,0.32,target,0.51,target,0.51,stop,-0.31,stop,-0.31,stop,-0.31,stop,-0.31,stop,-0.31,stop,-0.31
UBER,2026-07-14,13:55,14,53,71.98,71.29,71.72,3.57,1.96,0.91,1.46,False,False,False,False,23.8,بدون,83,4.07,False,True,False,0.433,0.30998011997767855,3.83,False,False,72.0,0.03,0.64,-0.27,0.11,2.73,0.93,1.16,target,0.47,target,0.47,none,0.11,target,0.97,none,0.11,target,1.47,none,0.11,target,1.97,0.5,target,0.47,target,0.47,none,0.11,target,0.97,none,0.11,target,1.47,none,0.11,target,1.97,1.0,target,0.47,target,0.47,none,0.11,target,0.97,none,0.11,target,1.47,none,0.11,target,1.97,2.0,target,0.47,target,0.47,none,0.11,target,0.97,none,0.11,target,1.47,none,0.11,target,1.97,0.43,target,0.47,target,0.47,none,0.11,target,0.97,none,0.11,target,1.47,none,0.11,target,1.97
XOM,2026-07-14,13:55,14,53,144.78,144.54,144.65,8.28,1.09,0.57,0.6,False,False,False,True,50.1,بدون,67,0.84,False,False,False,0.127,0.18428693498883927,2.1,False,True,144.78,-0.0,0.37,-0.06,0.21,0.37,-0.19,0.37,none,0.21,stop,-0.37,none,0.21,stop,-0.37,none,0.21,stop,-0.37,none,0.21,stop,-0.37,0.5,none,0.21,stop,-0.5,none,0.21,stop,-0.5,none,0.21,stop,-0.5,none,0.21,stop,-0.5,1.0,none,0.21,stop,-1.0,none,0.21,stop,-1.0,none,0.21,stop,-1.0,none,0.21,stop,-1.0,2.0,none,0.21,none,-0.19,none,0.21,none,-0.19,none,0.21,none,-0.19,none,0.21,none,-0.19,0.13,none,0.21,stop,-0.13,none,0.21,stop,-0.13,none,0.21,stop,-0.13,none,0.21,stop,-0.13
DHR,2026-07-14,14:05,14,55,198.98,198.84,199.04,10.45,1.55,0.56,0.74,False,False,False,False,49.0,بدون,74,1.69,False,True,False,0.14,0.27749851771763395,2.85,False,False,198.98,-0.0,0.32,-0.22,0.04,1.7,0.86,0.27,none,0.04,target,0.52,none,0.04,target,1.0,none,0.04,target,1.5,none,0.04,none,0.86,0.5,none,0.04,target,0.52,none,0.04,target,1.0,none,0.04,target,1.5,none,0.04,none,0.86,1.0,none,0.04,target,0.52,none,0.04,target,1.0,none,0.04,target,1.5,none,0.04,none,0.86,2.0,none,0.04,target,0.52,none,0.04,target,1.0,none,0.04,target,1.5,none,0.04,none,0.86,0.14,stop,-0.14,stop,-0.14,stop,-0.14,stop,-0.14,stop,-0.14,stop,-0.14,stop,-0.14,stop,-0.14
MDT,2026-07-14,14:10,14,56,79.57,79.18,79.57,5.45,1.78,0.95,2.83,False,False,False,False,36.8,بدون,84,5.56,False,True,False,0.183,0.1453416006905692,2.61,False,True,79.57,-0.0,0.18,-0.62,-0.33,2.9,1.15,0.69,none,-0.33,target,0.5,none,-0.33,target,1.0,none,-0.33,target,1.5,none,-0.33,target,2.0,0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,1.0,none,-0.33,target,0.5,none,-0.33,target,1.0,none,-0.33,target,1.5,none,-0.33,target,2.0,2.0,none,-0.33,target,0.5,none,-0.33,target,1.0,none,-0.33,target,1.5,none,-0.33,target,2.0,0.18,stop,-0.18,stop,-0.18,stop,-0.18,stop,-0.18,stop,-0.18,stop,-0.18,stop,-0.18,stop,-0.18
UNP,2026-07-14,14:20,14,58,290.07,289.85,290.05,2.99,1.61,0.78,0.61,False,True,False,True,61.3,بدون,86,0.55,False,True,False,0.105,0.304595947265625,1.77,False,True,290.07,-0.0,0.38,-0.71,-0.6,0.38,-0.57,0.28,stop,-0.27,stop,-0.27,stop,-0.27,stop,-0.27,stop,-0.27,stop,-0.27,stop,-0.27,stop,-0.27,0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,1.0,none,-0.6,stop,-1.0,none,-0.6,stop,-1.0,none,-0.6,stop,-1.0,none,-0.6,stop,-1.0,2.0,none,-0.6,none,-0.57,none,-0.6,none,-0.57,none,-0.6,none,-0.57,none,-0.6,none,-0.57,0.11,stop,-0.1,stop,-0.1,stop,-0.1,stop,-0.1,stop,-0.1,stop,-0.1,stop,-0.1,stop,-0.1
VRT,2026-07-14,14:25,14,59,303.64,302.83,303.72,2.54,1.04,0.87,1.12,False,False,False,False,45.0,بدون,58,4.46,False,False,False,0.242,0.7328556605747768,7.52,False,True,303.64,0.0,0.59,-0.51,0.01,1.91,0.29,0.47,stop,-0.47,stop,-0.47,stop,-0.47,stop,-0.47,stop,-0.47,stop,-0.47,stop,-0.47,stop,-0.47,0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,1.0,target,0.5,target,0.5,none,0.01,target,1.0,none,0.01,target,1.5,none,0.01,stop,-1.0,2.0,target,0.5,target,0.5,none,0.01,target,1.0,none,0.01,target,1.5,none,0.01,stop,-2.0,0.24,stop,-0.24,stop,-0.24,stop,-0.24,stop,-0.24,stop,-0.24,stop,-0.24,stop,-0.24,stop,-0.24
TEAM,2026-07-14,14:30,14,60,90.75,90.46,90.93,8.32,1.54,0.78,1.7,False,True,False,True,42.9,بدون,91,6.34,False,True,False,0.316,0.2854151044573103,5.64,False,False,90.73,-0.02,0.0,-1.8,-1.76,5.64,1.12,0.52,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,0.5,stop,-0.48,stop,-0.48,stop,-0.48,stop,-0.48,stop,-0.48,stop,-0.48,stop,-0.48,stop,-0.48,1.0,stop,-0.98,stop,-0.98,stop,-0.98,stop,-0.98,stop,-0.98,stop,-0.98,stop,-0.98,stop,-0.98,2.0,none,-1.76,target,0.53,none,-1.76,target,1.02,none,-1.76,target,1.52,none,-1.76,target,2.02,0.31,stop,-0.29,stop,-0.29,stop,-0.29,stop,-0.29,stop,-0.29,stop,-0.29,stop,-0.29,stop,-0.29
LLY,2026-07-14,14:35,14,61,1153.6,1152.5,1154.84,2.24,1.17,0.77,1.48,False,True,False,False,42.3,بدون,67,3.22,False,True,False,0.124,1.4332624162946428,3.52,False,False,1154.06,0.04,0.53,-0.12,-0.04,0.59,0.22,0.3,target,0.46,target,0.46,none,-0.04,stop,-0.74,none,-0.04,stop,-0.74,none,-0.04,stop,-0.74,0.5,target,0.46,target,0.46,none,-0.04,stop,-0.74,none,-0.04,stop,-0.74,none,-0.04,stop,-0.74,1.0,target,0.46,target,0.46,none,-0.04,stop,-1.04,none,-0.04,stop,-1.04,none,-0.04,stop,-1.04,2.0,target,0.46,target,0.46,none,-0.04,none,0.22,none,-0.04,none,0.22,none,-0.04,none,0.22,0.12,target,0.46,target,0.46,none,-0.04,stop,-0.74,none,-0.04,stop,-0.74,none,-0.04,stop,-0.74
SCCO,2026-07-14,14:40,14,62,179.11,178.64,179.24,4.51,1.18,0.6,2.28,False,False,False,False,63.4,بدون,74,2.06,False,False,False,0.137,0.24490792410714285,4.18,False,True,179.34,0.13,0.6,-0.31,0.5,1.8,0.03,0.46,target,0.37,target,0.37,none,0.5,target,1.6,none,0.5,target,1.6,none,0.5,stop,-0.59,0.5,target,0.37,target,0.37,none,0.5,target,1.6,none,0.5,target,1.6,none,0.5,stop,-0.63,1.0,target,0.37,target,0.37,none,0.5,target,1.6,none,0.5,target,1.6,none,0.5,stop,-1.13,2.0,target,0.37,target,0.37,none,0.5,target,1.6,none,0.5,target,1.6,none,0.5,stop,-2.12,0.14,stop,-0.26,stop,-0.26,stop,-0.26,stop,-0.26,stop,-0.26,stop,-0.26,stop,-0.26,stop,-0.26
INTC,2026-07-14,14:50,14,64,108.51,108.5,109.19,2.22,1.0,0.88,1.92,True,True,True,False,71.7,بدون,69,990.0,True,False,False,0.279,0.3034575326102121,9.73,False,True,108.51,0.0,0.24,-1.06,-0.69,0.24,-5.09,0.21,stop,-0.21,stop,-0.21,stop,-0.21,stop,-0.21,stop,-0.21,stop,-0.21,stop,-0.21,stop,-0.21,0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,2.0,none,-0.69,stop,-2.0,none,-0.69,stop,-2.0,none,-0.69,stop,-2.0,none,-0.69,stop,-2.0,0.28,stop,-0.28,stop,-0.28,stop,-0.28,stop,-0.28,stop,-0.28,stop,-0.28,stop,-0.28,stop,-0.28
ADBE,2026-07-14,14:55,15,65,220.87,220.44,220.73,2.07,1.38,0.79,0.69,False,False,False,False,28.8,بدون,58,4.53,False,True,False,0.196,0.43141610281808035,3.44,False,False,220.93,0.03,0.11,-0.56,-0.09,4.8,1.65,0.39,stop,-0.42,stop,-0.42,stop,-0.42,stop,-0.42,stop,-0.42,stop,-0.42,stop,-0.42,stop,-0.42,0.5,stop,-0.53,stop,-0.53,stop,-0.53,stop,-0.53,stop,-0.53,stop,-0.53,stop,-0.53,stop,-0.53,1.0,none,-0.09,target,1.01,none,-0.09,target,1.01,none,-0.09,target,1.47,none,-0.09,target,1.97,2.0,none,-0.09,target,1.01,none,-0.09,target,1.01,none,-0.09,target,1.47,none,-0.09,target,1.97,0.2,stop,-0.22,stop,-0.22,stop,-0.22,stop,-0.22,stop,-0.22,stop,-0.22,stop,-0.22,stop,-0.22
ETN,2026-07-14,15:00,15,66,413.8,414.0,414.64,2.4,1.18,0.87,1.1,True,True,False,False,75.3,قاعدة,77,0.77,False,False,False,0.147,0.6109619140625,4.49,False,False,413.81,0.0,0.58,-0.17,0.45,1.25,-0.23,0.15,stop,-0.15,stop,-0.15,stop,-0.15,stop,-0.15,stop,-0.15,stop,-0.15,stop,-0.15,stop,-0.15,0.5,target,0.5,target,0.5,none,0.45,target,1.25,none,0.45,stop,-0.5,none,0.45,stop,-0.5,1.0,target,0.5,target,0.5,none,0.45,target,1.25,none,0.45,stop,-1.0,none,0.45,stop,-1.0,2.0,target,0.5,target,0.5,none,0.45,target,1.25,none,0.45,stop,-2.0,none,0.45,stop,-2.0,0.15,stop,-0.15,stop,-0.15,stop,-0.15,stop,-0.15,stop,-0.15,stop,-0.15,stop,-0.15,stop,-0.15
IBM,2026-07-14,15:05,15,67,220.52,220.12,221.4,2.55,18.57,0.59,1.42,True,True,False,False,55.4,بدون,83,32.03,False,True,False,0.413,0.9098379952566964,4.22,False,False,220.53,0.0,0.44,-1.89,-1.56,1.49,-4.23,0.38,stop,-0.38,stop,-0.38,stop,-0.38,stop,-0.38,stop,-0.38,stop,-0.38,stop,-0.38,stop,-0.38,0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,2.0,none,-1.56,target,0.5,none,-1.56,target,1.0,none,-1.56,stop,-2.0,none,-1.56,stop,-2.0,0.41,stop,-0.42,stop,-0.42,stop,-0.42,stop,-0.42,stop,-0.42,stop,-0.42,stop,-0.42,stop,-0.42
NOW,2026-07-14,15:05,15,67,105.42,104.92,105.12,2.53,1.74,0.85,0.76,False,False,False,True,27.8,بدون,68,5.95,False,True,False,0.252,0.2648566109793527,5.03,False,False,105.44,0.02,0.12,-0.94,-0.56,3.14,-0.66,0.67,stop,-0.69,stop,-0.69,stop,-0.69,stop,-0.69,stop,-0.69,stop,-0.69,stop,-0.69,stop,-0.69,0.5,stop,-0.52,stop,-0.52,stop,-0.52,stop,-0.52,stop,-0.52,stop,-0.52,stop,-0.52,stop,-0.52,1.0,none,-0.56,target,1.01,none,-0.56,target,1.01,none,-0.56,target,1.48,none,-0.56,target,1.98,2.0,none,-0.56,target,1.01,none,-0.56,target,1.01,none,-0.56,target,1.48,none,-0.56,target,1.98,0.25,stop,-0.27,stop,-0.27,stop,-0.27,stop,-0.27,stop,-0.27,stop,-0.27,stop,-0.27,stop,-0.27
SYK,2026-07-14,15:05,15,67,314.98,314.31,314.9,2.13,2.34,0.81,0.86,False,True,False,True,64.8,بدون,85,5.82,False,True,False,0.222,0.6991053989955357,3.08,False,False,314.94,-0.01,0.06,-1.41,-1.16,0.81,0.47,0.41,stop,-0.4,stop,-0.4,stop,-0.4,stop,-0.4,stop,-0.4,stop,-0.4,stop,-0.4,stop,-0.4,0.5,stop,-0.49,stop,-0.49,stop,-0.49,stop,-0.49,stop,-0.49,stop,-0.49,stop,-0.49,stop,-0.49,1.0,stop,-0.99,stop,-0.99,stop,-0.99,stop,-0.99,stop,-0.99,stop,-0.99,stop,-0.99,stop,-0.99,2.0,none,-1.16,target,0.51,none,-1.16,none,0.47,none,-1.16,none,0.47,none,-1.16,none,0.47,0.22,stop,-0.21,stop,-0.21,stop,-0.21,stop,-0.21,stop,-0.21,stop,-0.21,stop,-0.21,stop,-0.21
UNP,2026-07-14,15:05,15,67,290.68,290.27,290.54,2.18,1.7,0.82,0.95,False,True,False,True,67.4,بدون,78,0.34,False,True,False,0.1,0.2894047328404018,1.77,False,False,290.68,0.0,0.17,-0.92,-0.81,0.17,-0.78,0.34,stop,-0.34,stop,-0.34,stop,-0.34,stop,-0.34,stop,-0.34,stop,-0.34,stop,-0.34,stop,-0.34,0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,1.0,none,-0.81,stop,-1.0,none,-0.81,stop,-1.0,none,-0.81,stop,-1.0,none,-0.81,stop,-1.0,2.0,none,-0.81,none,-0.78,none,-0.81,none,-0.78,none,-0.81,none,-0.78,none,-0.81,none,-0.78,0.1,stop,-0.1,stop,-0.1,stop,-0.1,stop,-0.1,stop,-0.1,stop,-0.1,stop,-0.1,stop,-0.1
ADI,2026-07-14,15:30,15,72,392.78,392.0,393.52,3.25,1.06,0.95,2.22,False,False,False,False,33.5,بدون,67,1.96,False,False,False,0.21,0.8241380964006696,4.71,False,True,392.79,0.0,0.61,-0.1,-0.02,1.68,-0.48,0.4,target,0.5,target,0.5,none,-0.02,target,1.26,none,-0.02,target,1.5,none,-0.02,stop,-0.4,0.5,target,0.5,target,0.5,none,-0.02,target,1.26,none,-0.02,target,1.5,none,-0.02,stop,-0.5,1.0,target,0.5,target,0.5,none,-0.02,target,1.26,none,-0.02,target,1.5,none,-0.02,stop,-1.0,2.0,target,0.5,target,0.5,none,-0.02,target,1.26,none,-0.02,target,1.5,none,-0.02,stop,-2.0,0.21,target,0.5,target,0.5,none,-0.02,target,1.26,none,-0.02,target,1.5,none,-0.02,stop,-0.21
ARM,2026-07-14,15:30,15,72,282.79,280.73,282.61,2.02,1.72,0.86,1.64,False,False,False,False,40.4,بدون,62,9.8,False,False,False,0.426,1.1989506312779017,10.08,False,False,282.88,0.03,0.41,-0.71,-0.63,1.99,-2.07,0.93,none,-0.63,target,0.47,none,-0.63,target,0.97,none,-0.63,target,1.47,none,-0.63,target,1.97,0.5,stop,-0.53,stop,-0.53,stop,-0.53,stop,-0.53,stop,-0.53,stop,-0.53,stop,-0.53,stop,-0.53,1.0,none,-0.63,target,0.47,none,-0.63,target,0.97,none,-0.63,target,1.47,none,-0.63,target,1.97,2.0,none,-0.63,target,0.47,none,-0.63,target,0.97,none,-0.63,target,1.47,none,-0.63,target,1.97,0.42,stop,-0.45,stop,-0.45,stop,-0.45,stop,-0.45,stop,-0.45,stop,-0.45,stop,-0.45,stop,-0.45
