sym,t,date,kind,volx,clv,close,sig_low,atr_pct,trend200,ext,near_earn,year,fill,gap_pct,stop_pct,o_t5,p_t5,d_t5,o_t8,p_t8,d_t8,o_t10,p_t10,d_t10,p_hold5,p_hold10,p_hold20,mfe,mae
MSFT,336,2025-01-27,B,2.03,0.95,434.56,423.5,2.21,True,0.88,True,2025,434.6,0.01,2.55,stop,-3.64,2,stop,-3.64,2,stop,-3.64,2,-5.12,-5.33,-8.02,3.17,-9.28
CRWD,337,2025-01-28,A,2.92,0.93,102.17,93.14250183105469,3.94,True,13.7,False,2025,101.09,-1.06,7.0,target,5.0,7,target,8.0,10,target,10.0,11,3.18,7.49,-5.96,12.67,-8.67
SBUX,337,2025-01-28,A,2.05,0.87,100.41,98.58999633789062,1.73,True,4.36,True,2025,102.7,2.28,4.0,target,5.0,0,target,8.0,4,target,10.0,10,9.3,10.07,11.48,12.66,-0.02
SHOP,337,2025-01-28,A,2.74,0.95,117.45,109.0,3.8,True,7.06,False,2025,116.7,-0.64,6.6,target,5.0,6,target,8.0,11,target,10.0,12,4.31,3.25,-5.03,10.87,-8.31
TSM,337,2025-01-28,B,1.73,0.96,202.4,192.4600067138672,4.9,True,1.15,False,2025,204.49,1.03,5.88,target,5.0,2,stop,-5.88,17,stop,-5.88,17,2.0,0.92,-11.44,5.14,-11.45
ZS,337,2025-01-28,A,2.1,0.95,204.68,189.1999969482422,3.38,True,4.21,False,2025,203.87,-0.4,7.0,target,5.0,11,stop,-7.0,18,stop,-7.0,18,0.55,3.57,-5.81,6.49,-7.28
IBM,338,2025-01-29,A,2.05,0.85,228.63,223.72999572753906,1.9,True,2.15,True,2025,250.0,9.35,7.0,target,5.0,3,time,0.98,20,time,0.98,20,1.38,3.68,0.98,6.29,-1.38
SBUX,338,2025-01-29,A,5.39,0.8,108.58,102.68000030517578,2.12,True,12.65,True,2025,109.0,0.39,5.8,target,5.0,15,time,6.25,20,time,6.25,20,2.48,3.67,6.25,6.5,-3.19
IBM,339,2025-01-30,A,4.15,0.76,258.27,247.00999450683594,2.49,True,14.89,True,2025,256.05,-0.86,3.53,stop,-3.53,6,stop,-3.53,6,stop,-3.53,6,-1.45,2.04,-2.29,3.78,-3.71
WDAY,343,2025-02-05,A,2.67,0.99,276.17,262.1400146484375,2.9,True,5.41,False,2025,276.99,0.3,5.36,stop,-5.36,3,stop,-5.36,3,stop,-5.36,3,-6.09,-7.44,-8.88,2.42,-11.39
UBER,344,2025-02-06,B,1.66,0.99,69.99,65.54000091552734,3.75,False,6.13,True,2025,70.36,0.53,6.85,target,5.0,0,target,8.0,0,target,10.0,1,12.88,8.61,3.84,16.69,-0.33
MPWR,345,2025-02-07,A,2.73,0.92,720.25,677.0,4.82,False,17.03,True,2025,717.1,-0.44,5.59,stop,-5.59,8,stop,-5.59,8,stop,-5.59,8,-3.67,-9.17,-20.46,0.44,-22.22
SHOP,347,2025-02-11,A,5.03,0.79,123.59,114.69999694824219,4.41,True,10.57,True,2025,119.05,-3.67,3.65,target,5.0,1,target,8.43,3,stop,-3.65,7,3.71,-6.9,-23.91,8.68,-25.16
INTC,348,2025-02-12,A,2.05,0.95,22.48,20.93000030517578,3.9,False,10.09,False,2025,22.84,1.6,7.0,target,5.0,0,target,8.0,0,target,10.0,1,8.89,3.9,5.3,20.62,-15.54
PANW,349,2025-02-13,A,2.36,0.92,201.88,195.35000610351562,2.97,True,7.23,True,2025,192.0,-4.89,-1.74,stop,1.74,0,stop,1.74,0,stop,1.74,0,-0.84,-4.33,-3.65,8.54,-10.09
PANW,350,2025-02-14,B,2.38,0.9,200.03,188.75,3.15,True,6.19,True,2025,197.7,-1.16,4.53,target,5.0,0,stop,-4.53,4,stop,-4.53,4,-4.9,-6.74,-7.38,5.41,-12.69
INTC,351,2025-02-18,A,2.73,0.95,27.39,24.489999771118164,4.84,False,33.52,False,2025,25.98,-5.15,5.74,stop,-5.74,1,stop,-5.74,1,stop,-5.74,1,-9.47,-19.9,-7.16,1.66,-25.75
ADI,352,2025-02-19,A,2.62,0.95,241.66,224.10000610351562,2.74,False,12.65,True,2025,243.54,0.78,7.0,stop,-7.0,5,stop,-7.0,5,stop,-7.0,5,-8.08,-8.53,-15.46,1.46,-16.81
WMT,356,2025-02-25,B,1.56,0.94,97.69,94.23999786376953,2.47,True,2.06,False,2025,97.7,0.01,3.54,stop,-3.54,6,stop,-3.54,6,stop,-3.54,6,-1.76,-12.79,-12.78,1.83,-14.16
ABBV,359,2025-02-28,A,2.27,0.89,209.03,204.41000366210938,1.8,True,13.76,False,2025,209.98,0.45,2.65,stop,-2.65,16,stop,-2.65,16,stop,-2.65,16,3.18,2.14,-0.22,4.13,-6.42
ISRG,359,2025-02-28,B,1.66,0.95,573.15,556.75,2.6,True,1.04,False,2025,573.78,0.11,2.97,stop,-2.97,1,stop,-2.97,1,stop,-2.97,1,-15.89,-14.81,-13.68,1.94,-17.33
PH,359,2025-02-28,B,1.75,0.9,668.51,651.9400024414062,2.6,True,0.43,False,2025,674.35,0.87,3.32,stop,-3.32,0,stop,-3.32,0,stop,-3.32,0,-10.05,-7.83,-9.86,0.54,-13.84
ZS,359,2025-02-28,B,1.72,0.95,196.23,191.0,3.83,True,0.24,False,2025,198.4,1.11,3.73,stop,-3.73,0,stop,-3.73,0,stop,-3.73,0,-1.87,2.14,0.01,9.07,-7.34
CRWD,361,2025-03-04,B,2.32,0.77,97.54,92.6449966430664,5.33,True,1.04,True,2025,90.42,-7.3,-2.46,stop,2.46,0,stop,2.46,0,stop,2.46,0,-4.13,3.7,2.71,8.57,-16.01
ZS,362,2025-03-05,B,2.1,0.89,196.45,189.55999755859375,4.32,True,0.47,True,2025,200.71,2.17,5.56,target,5.0,0,stop,-5.56,5,stop,-5.56,5,-5.55,1.41,-4.23,7.81,-7.0
ZS,364,2025-03-07,B,2.12,0.97,208.76,198.0,4.54,True,6.33,True,2025,203.47,-2.53,2.69,stop,-2.69,0,stop,-2.69,0,stop,-2.69,0,-0.4,3.15,-11.51,6.35,-19.02
LIN,374,2025-03-21,B,1.93,0.97,458.33,449.3800048828125,1.77,False,1.45,False,2025,457.12,-0.26,1.69,stop,-1.69,9,stop,-1.69,9,stop,-1.69,9,1.86,-6.84,-0.55,3.26,-10.6
ZS,387,2025-04-09,B,1.82,0.96,202.12,177.27499389648438,6.05,True,0.36,False,2025,195.63,-3.21,7.0,target,5.0,4,target,8.0,9,target,10.0,10,2.79,10.2,19.13,20.47,-3.25
NOW,397,2025-04-24,A,2.94,0.88,187.71,179.66600036621094,5.86,False,10.1,True,2025,188.8,0.58,4.84,target,5.0,6,target,8.37,12,target,10.0,12,3.53,3.82,6.4,10.81,-2.5
SYK,403,2025-05-02,B,1.85,0.93,378.22,363.0799865722656,2.54,True,2.6,True,2025,377.85,-0.1,3.91,time,0.84,20,time,0.84,20,time,0.84,20,2.71,4.46,0.84,4.52,-1.74
WMT,412,2025-05-15,B,2.63,0.92,96.35,91.88999938964844,1.97,True,5.67,True,2025,96.14,-0.22,4.42,time,-1.92,20,time,-1.92,20,time,-1.92,20,0.21,3.78,-1.92,4.94,-2.82
SNOW,417,2025-05-22,A,6.65,0.93,203.18,191.99000549316406,2.94,True,27.75,True,2025,198.51,-2.3,3.28,target,5.0,2,target,8.0,7,target,10.57,20,5.88,6.22,12.41,13.15,-0.41
INTU,419,2025-05-27,A,2.44,1.0,751.96,722.4500122070312,2.36,False,21.03,False,2025,752.0,0.01,3.93,time,2.77,20,time,2.77,20,time,2.77,20,1.97,1.7,2.77,2.85,-0.69
COST,422,2025-05-30,A,2.92,0.76,1040.18,1002.0,1.91,True,6.21,True,2025,1034.27,-0.57,3.12,stop,-3.12,5,stop,-3.12,5,stop,-3.12,5,-2.72,-4.83,-4.67,3.17,-5.84
ORCL,422,2025-05-30,A,2.25,0.95,165.53,161.5500030517578,2.43,False,13.46,False,2025,164.17,-0.82,1.6,target,5.99,4,target,8.0,5,target,15.71,8,7.91,28.59,33.37,39.01,-0.96
ZS,422,2025-05-30,A,4.08,0.94,275.7,262.6099853515625,2.7,True,24.95,True,2025,276.62,0.33,5.06,target,5.0,0,target,8.0,2,target,10.0,4,8.42,10.27,11.1,14.69,-0.1
ZS,423,2025-06-02,A,2.1,0.98,293.18,276.3500061035156,2.77,True,31.8,False,2025,292.72,-0.16,5.59,target,5.0,9,target,8.0,15,time,5.67,20,1.79,4.98,5.67,8.38,-0.85
CRWD,424,2025-06-03,A,2.18,0.82,122.19,119.36250305175781,3.04,True,19.76,True,2025,113.69,-6.96,-4.99,stop,4.99,0,stop,4.99,0,stop,4.99,0,4.89,6.69,13.05,13.9,-2.09
ON,424,2025-06-03,A,2.45,0.97,47.37,41.880001068115234,3.93,False,17.68,False,2025,48.34,2.05,7.0,target,5.0,0,target,8.0,3,target,10.0,4,7.12,8.11,17.09,18.18,-1.28
ON,425,2025-06-04,A,2.86,0.76,50.28,47.720001220703125,4.04,False,24.63,False,2025,50.52,0.48,5.54,target,5.0,3,target,8.0,8,target,10.0,18,4.87,4.55,8.1,13.08,-3.13
INTC,429,2025-06-10,B,2.39,0.83,22.08,20.280000686645508,3.42,False,7.37,False,2025,21.78,-1.36,6.89,stop,-6.89,2,stop,-6.89,2,stop,-6.89,2,-1.33,3.31,7.58,10.38,-7.71
ORCL,431,2025-06-12,A,6.14,0.81,199.86,188.8800048828125,2.73,False,32.45,True,2025,201.58,0.86,6.3,target,5.0,0,target,12.36,10,target,12.36,10,2.71,8.46,16.56,19.77,-0.19
EOG,432,2025-06-13,A,2.39,0.82,125.28,122.5,2.46,False,11.76,False,2025,123.39,-1.51,0.72,stop,-0.72,0,stop,-0.72,0,stop,-0.72,0,-2.2,-1.78,-3.72,3.58,-4.61
ORCL,432,2025-06-13,A,4.78,0.91,215.22,201.1999969482422,2.99,False,41.33,True,2025,213.2,-0.94,5.63,target,6.24,9,target,8.0,11,target,10.0,12,0.97,2.7,13.18,13.25,-5.0
AMD,433,2025-06-16,A,2.79,0.83,126.39,117.77999877929688,3.57,False,20.89,False,2025,127.93,1.22,7.0,target,5.0,4,target,8.0,4,target,10.17,5,12.09,8.28,25.39,26.6,-1.69
SYK,438,2025-06-24,B,1.59,0.84,386.46,377.6400146484375,1.41,True,2.98,False,2025,385.27,-0.31,1.98,target,5.0,19,time,2.96,20,time,2.96,20,1.7,2.47,2.96,5.09,-0.02
AMZN,441,2025-06-27,A,3.06,1.0,223.3,216.74000549316406,2.17,False,11.12,False,2025,223.52,0.1,3.03,target,5.0,17,time,3.35,20,time,3.35,20,-1.86,1.27,3.35,5.58,-2.5
BSX,441,2025-06-27,A,2.0,0.79,106.53,104.62000274658203,1.63,True,3.98,False,2025,106.5,-0.03,1.77,stop,-1.77,1,stop,-1.77,1,stop,-1.77,1,-3.84,-2.84,-0.03,2.29,-4.64
GILD,441,2025-06-27,B,2.24,0.74,110.67,106.83999633789062,2.69,True,4.14,False,2025,110.61,-0.05,3.41,target,5.0,18,time,3.27,20,time,3.27,20,0.41,-1.4,3.27,6.32,-2.59
UNP,441,2025-06-27,A,2.36,0.9,231.41,229.07000732421875,1.3,False,4.25,False,2025,230.94,-0.2,0.81,stop,-1.49,12,stop,-1.49,12,stop,-1.49,12,2.42,0.09,-3.1,4.24,-5.11
JNJ,453,2025-07-16,A,2.68,0.79,164.78,159.8000030517578,1.73,False,6.92,True,2025,163.18,-0.97,2.07,target,5.0,13,time,7.07,20,time,7.07,20,3.91,0.96,7.07,7.68,-0.54
PEP,454,2025-07-17,A,2.38,0.88,145.44,141.63999938964844,2.04,False,10.21,True,2025,146.26,0.56,3.16,stop,-3.16,1,stop,-3.16,1,stop,-3.16,1,-1.92,-4.77,2.83,3.31,-5.89
DELL,455,2025-07-18,A,2.19,0.9,131.24,124.83000183105469,2.68,True,13.13,False,2025,130.62,-0.47,4.43,stop,-4.43,1,stop,-4.43,1,stop,-4.43,1,2.48,-0.3,5.75,8.8,-5.7
CDNS,462,2025-07-29,A,2.87,0.75,366.26,353.0,2.51,True,17.76,True,2025,367.49,0.34,3.94,stop,-3.94,6,stop,-3.94,6,stop,-3.94,6,-1.99,-5.0,-5.61,2.44,-7.58
AMAT,464,2025-07-31,B,1.92,0.8,180.06,174.50999450683594,2.91,True,0.68,False,2025,176.6,-1.92,1.18,target,5.0,4,target,8.0,8,stop,-7.87,10,4.68,-8.4,-8.97,8.23,-10.57
LRCX,464,2025-07-31,B,2.95,0.83,94.84,90.94000244140625,3.18,True,1.74,True,2025,92.71,-2.25,1.91,target,5.09,1,target,8.0,4,target,10.0,5,9.75,7.33,8.03,16.51,-0.26
KLAC,465,2025-08-01,B,1.58,0.81,88.66,85.52799987792969,3.28,True,1.84,True,2025,89.68,1.14,4.62,target,5.0,7,stop,-5.68,20,stop,-5.68,20,1.5,-1.49,-5.62,6.97,-6.69
LRCX,465,2025-08-01,B,1.63,0.93,96.37,92.47000122070312,3.22,True,3.11,True,2025,97.43,1.1,5.09,target,6.64,5,target,8.0,6,target,10.0,7,4.69,1.49,-0.41,10.87,-3.41
MPWR,465,2025-08-01,A,2.9,0.81,785.62,711.4600219726562,3.7,True,10.12,True,2025,791.42,0.74,7.0,target,5.0,0,target,8.0,7,target,10.0,18,0.77,7.44,4.07,10.57,-2.18
MPWR,466,2025-08-04,A,2.34,0.97,830.63,778.9000244140625,3.63,True,15.93,False,2025,830.0,-0.08,6.16,stop,-6.16,0,stop,-6.16,0,stop,-6.16,0,1.27,1.78,-0.29,5.43,-6.73
ANET,468,2025-08-06,A,2.78,0.87,138.78,133.56500244140625,3.5,True,34.32,True,2025,139.08,0.22,3.97,stop,-3.97,5,stop,-3.97,5,stop,-3.97,5,-1.87,-5.07,2.71,4.59,-8.27
SHOP,468,2025-08-06,A,4.93,0.87,154.9,145.11000061035156,3.96,True,34.03,True,2025,154.46,-0.28,6.05,stop,-6.05,5,stop,-6.05,5,stop,-6.05,5,-6.6,-11.51,-4.95,1.55,-13.63
UBER,469,2025-08-07,B,1.6,0.98,92.67,89.16000366210938,2.84,True,3.84,True,2025,92.96,0.31,4.09,stop,-4.09,0,stop,-4.09,0,stop,-4.09,0,-0.39,4.12,1.51,4.93,-4.43
AAPL,470,2025-08-08,A,2.01,0.86,229.35,219.25,2.36,False,10.98,False,2025,227.92,-0.62,3.8,target,5.0,17,time,2.82,20,time,2.82,20,1.3,-0.33,2.82,5.88,-1.82
MDT,477,2025-08-19,B,2.91,0.91,89.9,87.5,1.88,True,0.49,True,2025,90.36,0.51,3.17,target,5.0,16,time,5.79,20,time,5.79,20,1.87,2.76,5.79,5.84,-0.08
ADI,478,2025-08-20,A,2.4,0.97,244.87,228.11000061035156,2.43,True,4.75,True,2025,244.0,-0.36,6.51,target,5.0,1,time,0.55,20,time,0.55,20,4.2,1.26,0.55,5.79,-2.14
MDT,478,2025-08-20,B,1.8,0.71,93.22,90.29000091552734,2.04,True,4.07,True,2025,93.32,0.11,3.25,time,1.89,20,time,1.89,20,time,1.89,20,-1.46,-0.45,1.89,2.78,-2.45
PLTR,478,2025-08-20,B,3.35,0.97,156.01,142.33999633789062,5.66,True,2.19,False,2025,157.17,0.74,7.0,target,5.62,13,target,8.0,15,target,10.0,19,0.6,-2.58,16.05,17.34,-5.81
GOOGL,487,2025-09-03,A,3.45,0.9,230.66,224.7899932861328,2.46,True,19.88,False,2025,229.65,-0.44,2.12,target,5.0,4,target,8.0,7,target,10.0,8,4.67,9.75,6.98,11.47,-1.54
GILD,490,2025-09-08,B,2.88,0.87,115.88,113.81999969482422,1.92,True,1.97,False,2025,115.88,0.0,1.78,stop,-1.91,4,stop,-1.91,4,stop,-1.91,4,-4.33,-1.28,0.78,1.92,-6.4
LIN,491,2025-09-09,B,1.87,0.74,473.44,470.3800048828125,1.21,True,0.24,False,2025,472.93,-0.11,0.54,stop,-0.54,0,stop,-0.54,0,stop,-0.54,0,1.47,0.25,-1.08,2.43,-2.56
ORCL,491,2025-09-09,B,3.75,0.78,241.51,234.55999755859375,2.95,True,0.77,True,2025,319.19,32.16,7.0,target,5.0,0,target,8.0,0,stop,-7.0,2,-5.57,-3.36,-9.57,8.31,-15.1
ANET,492,2025-09-10,A,2.66,0.85,150.72,144.89999389648438,2.99,True,21.25,False,2025,151.99,0.84,4.66,stop,-4.66,1,stop,-4.66,1,stop,-4.66,1,-3.51,-5.88,4.11,5.14,-8.88
ARM,492,2025-09-10,A,3.18,0.97,154.14,142.8000030517578,3.25,True,5.95,False,2025,152.85,-0.84,6.58,stop,-6.58,5,stop,-6.58,5,stop,-6.58,5,-4.13,-7.98,11.65,12.44,-9.96
AVGO,492,2025-09-10,A,2.14,0.85,369.57,350.54998779296875,4.07,True,24.78,False,2025,371.18,0.44,5.56,stop,-5.56,4,stop,-5.56,4,stop,-5.56,4,-6.96,-9.45,-7.05,0.82,-12.58
CDNS,493,2025-09-11,B,2.32,0.84,354.7,338.8999938964844,2.84,True,3.83,False,2025,353.47,-0.35,4.12,target,5.0,5,stop,-4.12,20,stop,-4.12,20,5.62,-0.95,-7.49,5.89,-7.81
ETN,494,2025-09-12,B,1.61,0.8,365.9,358.7799987792969,2.1,True,0.98,False,2025,370.02,1.13,3.04,time,1.45,20,time,1.45,20,time,1.45,20,2.24,-0.78,1.45,4.76,-2.9
TSLA,494,2025-09-12,A,2.23,0.97,395.94,370.239990234375,3.38,False,20.52,False,2025,423.13,6.87,7.0,target,5.0,5,target,8.0,12,target,11.2,13,2.62,4.75,3.02,11.25,-4.89
ASML,495,2025-09-15,A,2.09,0.96,867.3,833.9199829101562,2.29,True,15.29,False,2025,879.94,1.46,5.23,target,5.54,2,target,9.2,4,target,10.0,5,9.5,10.02,11.73,20.35,-2.13
AMAT,498,2025-09-18,A,2.23,0.77,189.76,183.8300018310547,2.53,True,7.09,False,2025,190.82,0.56,3.66,target,5.0,1,target,8.13,6,target,10.0,6,6.87,14.0,17.91,21.62,-1.13
CRWD,498,2025-09-18,A,2.94,0.96,125.66,115.52999877929688,3.41,True,13.27,False,2025,124.75,-0.72,7.0,time,-2.88,20,time,-2.88,20,time,-2.88,20,-3.52,-1.83,-2.88,3.69,-6.01
AAPL,499,2025-09-19,A,3.33,0.87,245.5,240.2100067138672,2.08,True,9.63,False,2025,248.3,1.14,3.26,target,5.0,20,time,5.61,20,time,5.61,20,2.47,3.38,5.61,6.48,-1.73
CDNS,499,2025-09-19,A,3.02,0.89,373.35,365.5199890136719,3.2,True,8.01,False,2025,370.0,-0.9,1.21,stop,-1.21,0,stop,-1.21,0,stop,-1.21,0,-5.81,-4.5,-10.91,1.05,-14.05
JNJ,499,2025-09-19,B,3.44,0.75,176.19,173.3300018310547,1.38,True,2.19,False,2025,176.09,-0.06,1.57,target,5.0,6,target,8.0,12,target,10.0,16,3.14,6.85,10.01,10.44,-1.12
LIN,499,2025-09-19,B,2.17,0.73,479.01,474.0,1.47,True,1.24,False,2025,476.98,-0.42,0.62,stop,-0.62,2,stop,-0.62,2,stop,-0.62,2,-0.1,-1.77,-5.33,1.26,-7.55
MSFT,499,2025-09-19,A,2.62,0.85,517.93,510.30999755859375,1.56,True,1.23,False,2025,515.59,-0.45,1.02,stop,-1.02,1,stop,-1.02,1,stop,-1.02,1,-0.19,2.52,0.23,2.99,-2.05
AZO,501,2025-09-23,B,2.18,0.72,4120.0,3969.590087890625,2.09,True,1.97,True,2025,4109.72,-0.25,3.41,target,5.0,4,stop,-3.41,11,stop,-3.41,11,3.36,-1.99,-2.74,5.43,-4.7
IBM,503,2025-09-25,A,2.64,0.79,281.44,271.1499938964844,2.24,True,10.43,False,2025,280.51,-0.33,3.34,target,5.36,7,stop,-5.55,19,stop,-5.55,19,2.8,-0.96,9.61,10.78,-6.04
INTC,503,2025-09-25,A,2.85,0.91,33.99,31.209999084472656,4.76,True,42.26,False,2025,35.02,3.03,7.0,target,5.0,4,target,8.37,5,target,10.0,6,5.17,3.85,9.31,17.42,-5.71
SHOP,505,2025-09-29,B,2.39,0.93,149.0,140.91000366210938,3.59,True,6.31,False,2025,147.99,-0.68,4.78,target,5.0,3,target,8.0,3,target,12.54,4,8.98,3.3,20.93,21.36,-1.91
ABBV,507,2025-10-01,A,2.2,0.97,244.38,232.0,1.88,True,17.15,False,2025,240.89,-1.43,3.69,stop,-3.81,2,stop,-3.81,2,stop,-3.81,2,-4.23,-5.82,-5.27,0.74,-6.99
AMGN,507,2025-10-01,B,1.78,0.83,298.5,283.0,2.49,True,3.59,False,2025,298.31,-0.06,5.13,time,-2.12,20,time,-2.12,20,time,-2.12,20,-0.97,-0.84,-2.12,1.86,-3.37
ARM,507,2025-10-01,B,1.73,0.9,150.38,142.36000061035156,3.57,True,4.57,False,2025,150.85,0.31,5.63,target,5.0,2,target,8.0,4,target,10.0,4,13.13,13.48,9.68,21.42,-0.95
DELL,507,2025-10-01,A,2.12,1.0,149.68,140.39999389648438,3.0,True,13.93,False,2025,150.49,0.54,6.7,target,5.0,4,target,8.0,4,target,10.0,4,3.63,0.54,6.99,11.6,-6.7
DHR,507,2025-10-01,A,2.6,0.98,212.88,198.6300048828125,2.63,False,6.63,False,2025,210.94,-0.91,5.84,target,5.95,13,target,8.0,13,target,10.0,13,-3.06,-0.01,1.95,11.4,-4.17
LLY,507,2025-10-01,A,2.9,0.89,825.42,763.2999877929688,2.68,False,12.27,False,2025,814.36,-1.34,6.27,target,5.0,2,time,3.7,20,time,3.7,20,5.03,0.62,3.7,6.14,-3.75
MRK,507,2025-10-01,A,2.56,0.89,90.13,85.19000244140625,2.35,False,9.04,False,2025,89.95,-0.2,5.29,stop,-5.29,8,stop,-5.29,8,stop,-5.29,8,-2.72,-6.7,-4.08,1.17,-7.55
SHOP,509,2025-10-03,A,2.23,0.86,161.14,152.5,3.72,True,13.13,False,2025,166.55,3.36,7.0,stop,-7.0,4,stop,-7.0,4,stop,-7.0,4,-7.74,-1.1,3.84,9.39,-12.84
AMD,512,2025-10-08,A,2.77,0.99,235.56,210.6999969482422,4.87,True,39.65,False,2025,236.3,0.31,7.0,stop,-7.0,1,stop,-7.0,1,stop,-7.0,1,-0.74,-0.55,0.59,13.03,-9.78
DELL,512,2025-10-08,A,2.52,0.87,164.53,154.0,4.16,True,23.44,False,2025,164.32,-0.13,6.28,stop,-6.28,1,stop,-6.28,1,stop,-6.28,1,-7.92,-6.14,-9.21,2.29,-11.7
PEP,513,2025-10-09,B,1.95,1.0,144.71,138.58999633789062,1.62,True,0.42,True,2025,145.63,0.64,4.83,target,5.0,4,time,-1.84,20,time,-1.84,20,5.55,4.07,-1.84,6.56,-2.97
PEP,514,2025-10-10,A,2.36,0.87,150.08,145.0,1.77,True,3.97,True,2025,148.65,-0.95,2.46,stop,-2.46,12,stop,-2.46,12,stop,-2.46,12,3.36,2.68,-4.06,4.4,-4.97
ARM,515,2025-10-13,A,2.1,0.83,171.94,157.0,4.71,True,19.03,False,2025,171.6,-0.2,7.0,target,5.0,0,stop,-7.49,16,stop,-7.49,16,-1.29,0.87,-12.74,6.74,-14.75
KO,521,2025-10-21,A,2.31,0.85,71.22,70.2300033569336,1.49,False,4.98,True,2025,71.36,0.2,1.58,stop,-1.58,1,stop,-1.58,1,stop,-1.58,1,-4.22,-3.99,-0.35,0.74,-5.18
IBM,523,2025-10-23,B,3.12,0.97,285.0,263.55999755859375,3.0,True,7.67,True,2025,283.77,-0.43,7.0,target,5.0,0,target,8.0,0,target,10.0,1,8.33,7.97,4.82,14.49,-0.55
IBM,524,2025-10-24,A,3.02,0.88,307.46,282.2099914550781,3.36,True,15.54,True,2025,307.8,0.11,7.0,target,5.0,12,time,-1.2,20,time,-1.2,20,-1.0,0.43,-1.2,5.56,-6.41
MRK,528,2025-10-30,B,1.67,0.74,86.28,83.30000305175781,1.93,True,1.94,True,2025,85.42,-1.0,2.48,stop,-2.48,1,stop,-2.48,1,stop,-2.48,1,1.01,8.78,19.21,23.91,-3.99
ETN,531,2025-11-04,B,3.57,0.84,377.72,352.1000061035156,3.39,True,2.44,True,2025,377.61,-0.03,6.76,stop,-7.31,7,stop,-7.31,7,stop,-7.31,7,-2.17,-8.46,-10.24,4.38,-15.2
AMGN,532,2025-11-05,A,2.59,0.85,319.86,302.1300048828125,2.29,False,10.8,True,2025,319.1,-0.24,5.32,target,5.0,3,target,8.0,5,time,3.38,20,5.3,5.32,3.38,8.55,-2.06
ABBV,537,2025-11-12,B,1.6,0.91,233.23,225.2899932861328,2.25,True,4.1,False,2025,233.74,0.22,3.62,stop,-3.62,11,stop,-3.62,11,stop,-3.62,11,-1.84,-2.58,-4.46,2.37,-5.78
AMAT,539,2025-11-14,B,2.17,0.99,226.01,203.39999389648438,4.05,True,6.47,True,2025,224.2,-0.8,7.0,target,5.0,2,target,8.0,6,target,10.0,7,2.99,18.35,15.45,23.15,-3.88
MRK,541,2025-11-18,A,2.4,0.78,96.43,92.11000061035156,3.01,True,12.59,False,2025,96.0,-0.45,4.05,target,5.0,3,target,8.0,4,target,10.0,4,8.99,5.09,4.89,10.25,-2.19
WMT,543,2025-11-20,B,3.28,0.85,107.11,102.68000030517578,1.94,True,3.49,True,2025,107.98,0.81,4.91,target,5.0,7,target,8.0,14,time,4.28,20,3.29,5.17,4.28,8.77,-3.91
SLB,544,2025-11-21,B,1.51,0.92,36.19,34.650001525878906,3.33,False,3.32,False,2025,36.0,-0.53,3.75,target,5.0,7,target,8.0,8,target,10.0,11,1.0,6.39,6.11,13.56,-2.75
ADI,545,2025-11-24,B,2.33,0.82,239.4,233.25,2.99,True,0.3,True,2025,230.6,-3.68,-1.15,stop,1.15,0,stop,1.15,0,stop,1.15,0,20.66,22.1,20.36,23.26,-0.57
AVGO,545,2025-11-24,B,2.27,0.88,377.96,347.6600036621094,4.71,True,8.48,False,2025,384.93,1.84,7.0,target,5.0,8,stop,-7.0,12,stop,-7.0,12,-1.12,7.28,-9.02,7.71,-16.5
GOOGL,545,2025-11-24,A,2.06,0.91,318.58,309.6000061035156,3.76,True,20.8,False,2025,326.21,2.4,5.09,stop,-5.09,11,stop,-5.09,11,stop,-5.09,11,-2.02,-1.84,-3.72,0.8,-9.22
LRCX,545,2025-11-24,B,2.07,0.73,150.38,144.42999267578125,5.6,True,3.86,False,2025,149.55,-0.55,3.42,target,5.0,4,target,8.31,8,target,10.0,8,6.82,12.51,18.58,18.73,-2.71
ADI,546,2025-11-25,B,1.99,0.98,252.02,229.2899932861328,3.24,True,5.52,True,2025,255.22,1.27,7.0,target,5.0,2,target,8.0,4,target,10.0,6,8.64,11.04,8.47,11.37,-0.9
INTC,550,2025-12-02,A,2.15,0.94,43.47,40.04999923706055,4.47,True,17.48,False,2025,43.39,-0.18,7.0,stop,-7.0,1,stop,-7.0,1,stop,-7.0,1,-6.02,-16.92,-9.24,1.45,-19.45
NXPI,550,2025-12-02,A,2.32,0.88,215.35,199.49000549316406,3.11,True,1.98,False,2025,217.84,1.16,7.0,target,5.0,0,time,1.58,20,time,1.58,20,5.94,2.47,1.58,7.85,-1.23
CRWD,551,2025-12-03,B,2.47,0.98,131.04,121.57499694824219,4.13,True,2.16,True,2025,130.98,-0.05,7.0,stop,-7.14,8,stop,-7.14,8,stop,-7.14,8,-1.19,-8.9,-12.86,1.14,-14.21
ADBE,553,2025-12-05,A,2.18,0.88,346.26,329.7099914550781,2.58,False,2.64,False,2025,347.45,0.34,5.11,stop,-5.11,18,stop,-5.11,18,stop,-5.11,18,1.06,2.9,-2.69,4.39,-5.76
PEP,556,2025-12-10,B,2.61,0.97,149.7,147.0,1.67,True,1.91,False,2025,150.15,0.3,2.1,stop,-2.1,7,stop,-2.1,7,stop,-2.1,7,-0.52,-4.24,-5.85,1.47,-9.42
